iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,1.8968210220336914,-244.91355754529118,28.896661364367887,-184.60431323970332,-329.897684688268,0.0,0.46124505891398154,0.1,0.09406542778015137,0.3163285255432129,0.05493854,0.2787559,-244.91355754529118,-0.10959221860398798,-3.2213587713799066,0.0,2084,0.31385374069213867,1.00102506371203,0.9133474526128517,-313.95397575981883,0.0
1,1.6846489906311035,-245.63322447358487,31.29947011656667,-170.33191644386835,-336.79268312259927,0.0,0.5485287349408569,0.1,0.012135744094848633,0.2976720333099365,0.05167846,0.19820948,-244.98552423812055,-0.11112638203392544,-3.2304695327486304,0.0,2060,0.2249584197998047,0.9132109115204766,0.2988476816029395,-335.61193078697625,0.0
2,1.6091151237487793,-247.49231109236462,37.21164414221405,-186.3252096021787,-423.75810177852236,0.0,0.5628248308051916,0.1,0.010806798934936523,0.2786691188812256,0.051449798,0.20125686,-245.23620292354497,-0.10950983709549218,-3.254319378297397,0.0,2098,0.2656068801879883,0.3041021719860059,0.1514362382549211,-310.8390065211438,0.0
3,1.5788211822509766,-246.1144749446977,35.64925275834711,-169.7721010157429,-361.6178466436428,0.0,0.5784614334038668,0.1,0.009728431701660156,0.24364304542541504,0.055762675,0.19223177,-245.32403012566027,-0.10959598848475116,-3.2367983239827947,0.0,2088,0.28534936904907227,0.15067770292406674,0.12539637747193902,-377.26552051457344,0.0
4,1.6041581630706787,-240.84758294018516,29.096390589161185,-180.62292964012076,-311.5038215356433,0.0,0.5813711077270114,0.1,0.024296998977661133,0.26553845405578613,0.05230454,0.1787208,-244.87638540711276,-0.10877629835483082,-3.167391310737557,0.0,2062,0.301891565322876,0.11816727583092185,0.09167014043004172,-398.6785344559452,0.0
5,1.6491999626159668,-243.14012273427784,55.541783496111336,-163.47301959982258,-675.5763085294458,0.0,0.5542358775030615,0.1,0.01581430435180664,0.33397436141967773,0.04921217,0.17443039,-244.70275913982928,-0.10674713548857329,-3.1980230335226625,0.0,2132,0.2678864002227783,0.13142601294314832,0.11215320869937315,-391.81135506610576,6.25
6,1.6170740127563477,-251.3941645876164,62.7874385722773,-162.05589874195107,-748.1994331704362,0.0,0.5968138469822567,0.1,0.03905224800109863,0.35674214363098145,0.05239277,0.15487759,-245.371899684608,-0.10923985381609447,-3.3072701491025094,0.0,2130,0.25770068168640137,0.1349034169946286,0.11951439487624146,-359.414590078771,6.25
7,1.7109565734863281,-243.86655005907787,31.185567827837072,-179.5505998264152,-364.70585201107355,0.0,0.5700858521604867,0.1,0.01159048080444336,0.3758387565612793,0.052667085,0.19020611,-245.22136472205497,-0.10807716167344121,-3.2077149867484187,0.0,2103,0.14773797988891602,0.05341500984995544,0.038155879975878014,-348.63143952200755,6.25
8,1.725254774093628,-248.27593755924218,64.91140359006033,-182.4243248292391,-716.4847191774636,0.0,0.5577793797071419,0.1,0.018680095672607422,0.23990964889526367,0.051299725,0.1629948,-245.5268220057737,-0.10885820092873573,-3.26564338906746,0.0,2126,0.28244781494140625,0.13243024556298527,0.12501960603619236,-317.99132301723404,12.5
9,1.6283657550811768,-243.90491837412512,26.674520703161054,-179.27012415604906,-327.1517206963115,0.0,0.5980378431211275,0.1,0.04779553413391113,0.4082987308502197,0.05095742,0.16927622,-245.36463164260886,-0.10780956563101847,-3.2074807766956503,0.0,2106,0.14394855499267578,0.03800948022825268,0.03057589613755806,-353.87259537686157,12.5
